,Instanz,Makespan
467,467,2299
468,468,2676
469,469,2417
470,470,2415
471,471,2607
472,472,2184
473,473,2451
474,474,2787
475,475,2538
476,476,2253
477,477,2608
478,478,2502
479,479,2452
480,480,2636
481,481,2377
482,482,2268
483,483,3001
484,484,2421
485,485,2374
486,486,2399
487,487,2294
488,488,2560
489,489,2326
490,490,2742
491,491,2355
492,492,2692
493,493,2246
494,494,2428
495,495,2421
496,496,2357
497,497,2632
498,498,2315
499,499,2563
500,500,3058
501,501,2992
502,502,2991
503,503,3095
504,504,3314
505,505,3083
506,506,2779
507,507,2881
508,508,2861
509,509,2940
510,510,3171
511,511,2854
512,512,2783
513,513,3090
514,514,2974
515,515,3074
516,516,2961
517,517,2900
518,518,2977
519,519,2904
520,520,2949
521,521,2858
522,522,2850
523,523,2961
524,524,2836
525,525,2990
526,526,2917
527,527,2801
528,528,2885
529,529,3042
530,530,3088
531,531,3065
532,532,2958
533,533,2893
534,534,3264
535,535,3004
536,536,2893
537,537,3121
538,538,2913
539,539,2818
540,540,3096
541,541,3030
542,542,2855
543,543,2915
544,544,3097
545,545,2953
546,546,2886
547,547,3042
548,548,2745
549,549,3067
550,550,2958
551,551,2963
552,552,2965
553,553,2750
554,554,3094
555,555,2879
556,556,3176
557,557,2813
558,558,3069
559,559,2917
560,560,2961
561,561,3030
562,562,3264
563,563,3143
564,564,3058
565,565,3121
566,566,2919
567,567,2932
568,568,3022
569,569,3264
570,570,3236
571,571,2743
572,572,3097
573,573,2964
574,574,3204
575,575,3312
576,576,3167
577,577,2978
578,578,2967
579,579,2957
580,580,3121
581,581,3136
582,582,3079
583,583,3013
584,584,2962
585,585,2902
586,586,2813
587,587,2739
588,588,2805
589,589,2966
590,590,3016
591,591,3319
592,592,3018
593,593,2932
594,594,2961
595,595,3102
596,596,3083
597,597,3023
598,598,2859
599,599,2954
600,600,3492
601,601,3468
602,602,3377
603,603,3476
604,604,3625
605,605,3574
606,606,3467
607,607,3502
608,608,3529
609,609,3451
610,610,3504
611,611,3266
612,612,3302
613,613,3458
614,614,3511
615,615,3622
616,616,3755
617,617,3476
618,618,3611
619,619,3447
620,620,3510
621,621,3436
622,622,3561
623,623,3509
624,624,3291
625,625,3536
626,626,3575
627,627,3577
628,628,3382
629,629,3204
630,630,3566
631,631,3462
632,632,3585
633,633,3459
634,634,3734
635,635,3420
636,636,3533
637,637,3542
638,638,3473
639,639,3355
640,640,3611
641,641,3466
642,642,3336
643,643,3320
644,644,3341
645,645,3420
646,646,3401
647,647,3527
648,648,3518
649,649,3524
650,650,3392
651,651,3409
652,652,3345
653,653,3485
654,654,3628
655,655,3177
656,656,3444
657,657,3508
658,658,3658
659,659,3670
660,660,3474
661,661,3672
662,662,3487
663,663,3373
664,664,3461
665,665,3740
666,666,3539
667,667,3736
668,668,3443
669,669,3610
670,670,3620
671,671,3711
672,672,3692
673,673,3333
674,674,3569
675,675,3602
676,676,3775
677,677,3637
678,678,3516
679,679,3596
680,680,3442
681,681,3601
682,682,3623
683,683,3500
684,684,3491
685,685,3524
686,686,3535
687,687,3437
688,688,3608
689,689,3473
690,690,3577
691,691,3579
692,692,3466
693,693,3459
694,694,3365
695,695,3600
696,696,3657
697,697,3706
698,698,3336
699,699,3531
700,700,4121
701,701,3925
702,702,4159
703,703,4332
704,704,4074
705,705,4439
706,706,3965
707,707,4190
708,708,4026
709,709,4053
710,710,4020
711,711,3861
712,712,4133
713,713,4173
714,714,3939
715,715,4146
716,716,4581
717,717,4187
718,718,4126
719,719,4088
720,720,4068
721,721,4115
722,722,4031
723,723,3670
724,724,4090
725,725,3962
726,726,4213
727,727,3740
728,728,4063
729,729,4115
730,730,3816
731,731,3967
732,732,4023
733,733,4092
734,734,4020
735,735,3814
736,736,3965
737,737,3844
738,738,4191
739,739,3979
740,740,4277
741,741,3931
742,742,3775
743,743,4125
744,744,4005
745,745,3729
746,746,3896
747,747,3942
748,748,4022
749,749,3832
750,750,3992
751,751,3864
752,752,3975
753,753,4139
754,754,4117
755,755,4145
756,756,3920
757,757,3901
758,758,4160
759,759,3983
760,760,3930
761,761,3978
762,762,3992
763,763,4088
764,764,4048
765,765,3975
766,766,4142
767,767,3965
768,768,4167
769,769,3967
770,770,4066
771,771,3959
772,772,3731
773,773,4110
774,774,3961
775,775,3964
776,776,3965
777,777,4028
778,778,4416
779,779,4071
780,780,4239
781,781,3960
782,782,3913
783,783,3994
784,784,4052
785,785,3989
786,786,3797
787,787,3983
788,788,3841
789,789,4124
790,790,4152
791,791,3993
792,792,3979
793,793,4143
794,794,3860
795,795,3753
796,796,4152
797,797,3999
798,798,3788
799,799,4348
800,800,4562
801,801,4563
802,802,4579
803,803,4357
804,804,4402
805,805,4526
806,806,4439
807,807,4585
808,808,4523
809,809,4557
810,810,4602
811,811,4404
812,812,4647
813,813,4617
814,814,4620
815,815,4548
816,816,4671
817,817,4384
818,818,4553
819,819,4486
820,820,4535
821,821,4327
822,822,4724
823,823,4780
824,824,4708
825,825,4567
826,826,4561
827,827,4724
828,828,4655
829,829,4292
830,830,4833
831,831,4734
832,832,4281
833,833,4530
834,834,4660
835,835,4634
836,836,4653
837,837,4839
838,838,4833
839,839,4479
840,840,4770
841,841,4507
842,842,4391
843,843,4518
844,844,4428
845,845,4477
846,846,4759
847,847,4628
848,848,4544
849,849,4565
850,850,4693
851,851,4643
852,852,4384
853,853,4763
854,854,4354
855,855,4546
856,856,4404
857,857,4522
858,858,4747
859,859,4752
860,860,4375
861,861,4802
862,862,4427
863,863,4372
864,864,4513
865,865,4574
866,866,4634
867,867,4734
868,868,4694
869,869,4683
870,870,4443
871,871,4655
872,872,4313
873,873,4511
874,874,4809
875,875,4391
876,876,4308
877,877,4440
878,878,4659
879,879,4578
880,880,4590
881,881,4453
882,882,4949
883,883,4571
884,884,4477
885,885,4657
886,886,4528
887,887,4529
888,888,4628
889,889,4574
890,890,4581
891,891,4747
892,892,4469
893,893,4547
894,894,4673
895,895,4818
896,896,4431
897,897,4652
898,898,4400
899,899,4425
900,900,4877
901,901,5182
902,902,5075
903,903,5018
904,904,5513
905,905,4830
906,906,4939
907,907,5078
908,908,4974
909,909,4886
910,910,5124
911,911,4949
912,912,4888
913,913,4778
914,914,5201
915,915,5095
916,916,5066
917,917,5124
918,918,5150
919,919,4924
920,920,5040
921,921,5304
922,922,5229
923,923,5127
924,924,5160
925,925,4997
926,926,5210
927,927,4770
928,928,5020
929,929,5135
930,930,5182
931,931,5068
932,932,5289
933,933,5136
934,934,4983
935,935,5366
936,936,5025
937,937,4876
938,938,5272
939,939,5019
940,940,5398
941,941,4934
942,942,4827
943,943,5122
944,944,5039
945,945,5007
946,946,4842
947,947,5020
948,948,5116
949,949,5542
950,950,4868
951,951,4975
952,952,5097
953,953,5198
954,954,4906
955,955,4922
956,956,5135
957,957,5094
958,958,5134
959,959,5044
960,960,5323
961,961,4939
962,962,5377
963,963,4766
964,964,4941
965,965,5193
966,966,5231
967,967,4962
968,968,4811
969,969,5254
970,970,4976
971,971,4837
972,972,5149
973,973,5208
974,974,5039
975,975,5073
976,976,4921
977,977,5470
978,978,5279
979,979,5180
980,980,5474
981,981,5058
982,982,4971
983,983,5294
984,984,5414
985,985,5093
986,986,5461
987,987,4831
988,988,4832
989,989,5025
990,990,4942
991,991,4939
992,992,5153
993,993,5342
994,994,5005
995,995,5036
996,996,5244
997,997,5124
998,998,5344
999,999,4953
1000,1000,5560
1001,1001,5719
1002,1002,5647
1003,1003,5644
1004,1004,5486
1005,1005,5632
1006,1006,5751
1007,1007,5996
1008,1008,5524
1009,1009,5612
1010,1010,5737
1011,1011,5296
1012,1012,5622
1013,1013,5556
1014,1014,5782
1015,1015,5615
1016,1016,5705
1017,1017,5634
1018,1018,5701
1019,1019,5464
1020,1020,5580
1021,1021,5549
1022,1022,5681
1023,1023,5809
1024,1024,5548
1025,1025,5492
1026,1026,5808
1027,1027,5415
1028,1028,5828
1029,1029,5426
1030,1030,5919
1031,1031,5863
1032,1032,5380
1033,1033,5758
1034,1034,5429
1035,1035,5655
1036,1036,5505
1037,1037,5310
1038,1038,5435
1039,1039,5264
1040,1040,5369
1041,1041,5696
1042,1042,5935
1043,1043,5788
1044,1044,5796
1045,1045,5783
1046,1046,5343
1047,1047,5777
1048,1048,6099
1049,1049,6253
1050,1050,5627
1051,1051,5456
1052,1052,5556
1053,1053,5468
1054,1054,5335
1055,1055,5751
1056,1056,5825
1057,1057,5290
1058,1058,6172
1059,1059,5498
1060,1060,5671
1061,1061,5436
1062,1062,5412
1063,1063,5776
1064,1064,5741
1065,1065,5693
1066,1066,5886
1067,1067,5550
1068,1068,5786
1069,1069,5516
1070,1070,5526
1071,1071,5683
1072,1072,5659
1073,1073,5561
1074,1074,5536
1075,1075,5399
1076,1076,5680
1077,1077,5749
1078,1078,5511
1079,1079,5612
1080,1080,5476
1081,1081,5639
1082,1082,5608
1083,1083,5485
1084,1084,5477
1085,1085,5644
1086,1086,5448
1087,1087,5632
1088,1088,5453
1089,1089,5655
1090,1090,5699
1091,1091,5503
1092,1092,5402
1093,1093,5811
1094,1094,5319
1095,1095,5591
1096,1096,6030
1097,1097,5709
1098,1098,5769
1099,1099,5613
1100,1100,1155
1101,1101,1177
1102,1102,1121
1103,1103,1138
1104,1104,1033
1105,1105,1175
1106,1106,1138
1107,1107,1037
1108,1108,1314
1109,1109,1122
1110,1110,1143
1111,1111,1166
1112,1112,1141
1113,1113,1271
1114,1114,1117
1115,1115,1145
1116,1116,1147
1117,1117,1189
1118,1118,1217
1119,1119,1280
1120,1120,1236
1121,1121,1259
1122,1122,1242
1123,1123,1019
1124,1124,1173
1125,1125,1182
1126,1126,1232
1127,1127,1214
1128,1128,1144
1129,1129,1183
1130,1130,1214
1131,1131,1177
1132,1132,1335
1133,1133,1122
1134,1134,1128
1135,1135,1260
1136,1136,1235
1137,1137,1263
1138,1138,1256
1139,1139,1312
1140,1140,1237
1141,1141,1212
1142,1142,1311
1143,1143,1115
1144,1144,1150
1145,1145,1153
1146,1146,1284
1147,1147,1213
1148,1148,1291
1149,1149,1302
1150,1150,1160
1151,1151,1096
1152,1152,1182
1153,1153,1206
1154,1154,1244
1155,1155,1219
1156,1156,1326
1157,1157,1234
1158,1158,1160
1159,1159,1075
1160,1160,1209
1161,1161,1088
1162,1162,1252
1163,1163,1185
1164,1164,1095
1165,1165,1348
1166,1166,1110
1167,1167,1224
1168,1168,1069
1169,1169,1132
1170,1170,1259
1171,1171,1232
1172,1172,1225
1173,1173,1151
1174,1174,1218
1175,1175,1164
1176,1176,1085
1177,1177,1131
1178,1178,1170
1179,1179,1128
1180,1180,1351
1181,1181,1259
1182,1182,1322
1183,1183,1195
1184,1184,1084
1185,1185,1221
1186,1186,1245
1187,1187,1254
1188,1188,1126
1189,1189,1134
1190,1190,1166
1191,1191,1127
1192,1192,1180
1193,1193,1170
1194,1194,1167
1195,1195,1218
1196,1196,1184
1197,1197,1237
1198,1198,1063
1199,1199,1162
1200,1200,1541
1201,1201,1448
1202,1202,1424
1203,1203,1416
1204,1204,1459
1205,1205,1359
