,Instanz,Makespan
455,455,1715
456,456,1733
457,457,1643
458,458,1966
459,459,1657
460,460,1718
461,461,1745
462,462,1705
463,463,1630
464,464,1616
465,465,1587
466,466,1723
467,467,1560
468,468,1683
469,469,1552
470,470,1667
471,471,1582
472,472,1762
473,473,1760
474,474,1549
475,475,1778
476,476,1567
477,477,1776
478,478,1606
479,479,1596
480,480,1607
481,481,1807
482,482,1467
483,483,1896
484,484,1645
485,485,1688
486,486,1536
487,487,1717
488,488,1765
489,489,1656
490,490,1635
491,491,1583
492,492,1647
493,493,1658
494,494,1557
495,495,1527
496,496,1791
497,497,1530
498,498,2040
499,499,1542
500,500,1674
501,501,1573
502,502,1703
503,503,1580
504,504,1624
505,505,1542
506,506,1658
507,507,1539
508,508,1873
509,509,1622
510,510,1842
511,511,1642
512,512,1672
513,513,1737
514,514,1655
515,515,1687
516,516,1716
517,517,1839
518,518,1678
519,519,1745
520,520,1636
521,521,1627
522,522,1720
523,523,1691
524,524,1816
525,525,1717
526,526,1607
527,527,1761
528,528,1777
529,529,1734
530,530,1655
531,531,1854
532,532,1790
533,533,1606
534,534,1776
535,535,1841
536,536,1545
537,537,1681
538,538,1671
539,539,1794
540,540,1807
541,541,1685
542,542,1843
543,543,1714
544,544,1894
545,545,1623
546,546,1744
547,547,1581
548,548,1696
549,549,1699
550,550,1584
551,551,1492
552,552,1538
553,553,1605
554,554,1817
555,555,1613
556,556,1540
557,557,1672
558,558,1650
559,559,1709
560,560,1724
561,561,1551
562,562,1656
563,563,1725
564,564,1821
565,565,1772
566,566,1853
567,567,1556
568,568,1681
569,569,1562
570,570,1560
571,571,1631
572,572,1727
573,573,1639
574,574,1752
575,575,1635
576,576,1735
577,577,1553
578,578,1617
579,579,1632
580,580,1629
581,581,1702
582,582,1650
583,583,1614
584,584,1889
585,585,1605
586,586,1805
587,587,1750
588,588,1694
589,589,1701
590,590,1547
591,591,1605
592,592,1576
593,593,1810
594,594,1586
595,595,1682
596,596,1642
597,597,1694
598,598,1523
599,599,1557
600,600,2199
601,601,2235
602,602,2153
603,603,2290
604,604,2099
605,605,2075
606,606,2357
607,607,2079
608,608,2109
609,609,2182
610,610,2172
611,611,1963
612,612,2135
613,613,2067
614,614,2365
615,615,2140
616,616,2063
617,617,2063
618,618,2148
619,619,2064
620,620,2123
621,621,2065
622,622,2290
623,623,2057
624,624,2119
625,625,2107
626,626,2178
627,627,2203
628,628,2451
629,629,2385
630,630,2095
631,631,2136
632,632,2117
633,633,2154
634,634,2061
635,635,2107
636,636,2006
637,637,2254
638,638,2106
639,639,2355
640,640,2186
641,641,2051
642,642,2086
643,643,2092
644,644,2304
645,645,2106
646,646,2403
647,647,2250
648,648,2094
649,649,2155
650,650,2222
651,651,2253
652,652,2194
653,653,2054
654,654,2354
655,655,2105
656,656,2266
657,657,2209
658,658,2256
659,659,2143
660,660,2322
661,661,2138
662,662,2234
663,663,2361
664,664,2076
665,665,2032
666,666,2242
667,667,1997
668,668,2096
669,669,2167
670,670,2216
671,671,2260
672,672,2280
673,673,2021
674,674,2060
675,675,2201
676,676,2128
677,677,2067
678,678,2131
679,679,2123
680,680,2164
681,681,2246
682,682,2174
683,683,2123
684,684,2090
685,685,2161
686,686,2101
687,687,2222
688,688,2392
689,689,2155
690,690,2209
691,691,2175
692,692,2041
693,693,2263
694,694,2156
695,695,2072
696,696,2162
697,697,2235
698,698,2230
699,699,2384
700,700,2336
701,701,2222
702,702,2277
703,703,2203
704,704,2021
705,705,2032
706,706,2258
707,707,2160
708,708,2110
709,709,2072
710,710,2285
711,711,2020
712,712,2346
713,713,2196
714,714,2112
715,715,2273
716,716,2125
717,717,2239
718,718,2162
719,719,2339
720,720,2098
721,721,2034
722,722,2073
723,723,2227
724,724,2150
725,725,2123
726,726,2312
727,727,1956
728,728,2370
729,729,2329
730,730,2287
731,731,2144
732,732,2277
733,733,2063
734,734,2101
735,735,2221
736,736,2234
737,737,2293
738,738,2331
739,739,2029
740,740,2140
741,741,1969
742,742,2264
743,743,2242
744,744,2325
745,745,2300
746,746,2171
747,747,2218
748,748,1965
749,749,2012
750,750,2377
751,751,2035
752,752,2184
753,753,2081
754,754,2208
755,755,2113
756,756,2037
757,757,2243
758,758,2226
759,759,2218
760,760,2104
761,761,2314
762,762,2223
763,763,2439
764,764,2249
765,765,2500
766,766,2035
767,767,2162
768,768,2164
769,769,2207
770,770,2129
771,771,2090
772,772,2187
773,773,2039
774,774,2217
775,775,2231
776,776,2255
777,777,2207
778,778,2366
779,779,2419
780,780,2096
781,781,2199
782,782,1955
783,783,2226
784,784,2151
785,785,2288
786,786,2173
787,787,2491
788,788,2092
789,789,2127
790,790,2014
791,791,2032
792,792,2103
793,793,2144
794,794,2168
795,795,2245
796,796,2084
797,797,1937
798,798,2111
799,799,2186
800,800,2043
801,801,2029
802,802,2124
803,803,2053
804,804,2867
805,805,2223
806,806,2293
807,807,2341
808,808,2053
809,809,2261
810,810,2341
811,811,2016
812,812,2141
813,813,2290
814,814,2067
815,815,2192
816,816,2036
817,817,2533
818,818,2159
819,819,2283
820,820,2189
821,821,2001
822,822,2281
823,823,2304
824,824,2310
825,825,2106
826,826,2280
827,827,2144
828,828,2124
829,829,2083
830,830,2277
831,831,2158
832,832,2208
833,833,2141
834,834,2083
835,835,2269
836,836,2120
837,837,2210
838,838,2075
839,839,2252
840,840,2216
841,841,2025
842,842,2028
843,843,2316
844,844,2178
845,845,2142
846,846,2159
847,847,1926
848,848,2220
849,849,2100
850,850,2093
851,851,2163
852,852,2286
853,853,2270
854,854,2335
855,855,2140
856,856,2107
857,857,2125
858,858,2135
859,859,2425
860,860,2461
861,861,2471
862,862,2047
863,863,2121
864,864,2268
865,865,2210
866,866,2016
867,867,2183
868,868,2103
869,869,2093
870,870,2079
871,871,2195
872,872,2361
873,873,2067
874,874,2342
875,875,2181
876,876,2318
877,877,2262
878,878,2014
879,879,2270
880,880,1905
881,881,2210
882,882,2324
883,883,2291
884,884,1986
885,885,2283
886,886,2213
887,887,2168
888,888,2187
889,889,2037
890,890,2321
891,891,2138
892,892,2211
893,893,2291
894,894,2141
895,895,2079
896,896,2409
897,897,2259
898,898,2198
899,899,2034
900,900,3287
901,901,3335
902,902,3462
903,903,3337
904,904,3266
905,905,3023
906,906,3434
907,907,3424
908,908,3458
909,909,3198
910,910,3249
911,911,3181
912,912,3203
913,913,3307
914,914,3319
915,915,3114
916,916,3233
917,917,3441
918,918,3378
919,919,3227
920,920,3031
921,921,3383
922,922,3255
923,923,3474
924,924,3162
925,925,3157
926,926,3102
927,927,3291
928,928,3225
929,929,3264
930,930,3255
931,931,3193
932,932,3148
933,933,3374
934,934,3258
935,935,3221
936,936,3355
937,937,3300
938,938,3300
939,939,3260
940,940,3276
941,941,3145
942,942,3217
943,943,3162
944,944,3048
945,945,3155
946,946,3400
947,947,3345
948,948,3190
949,949,3064
950,950,3140
951,951,3218
952,952,3163
953,953,3304
954,954,3118
955,955,3270
956,956,3178
957,957,3376
958,958,3389
959,959,3302
960,960,3448
961,961,3343
962,962,3124
