,Instanz,Makespan
290,290.0,4124.0
291,291.0,4027.0
292,292.0,4459.0
293,293.0,4162.0
294,294.0,4446.0
295,295.0,4006.0
296,296.0,4081.0
297,297.0,4280.0
298,298.0,4296.0
299,299.0,4153.0
300,300.0,4536.0
301,301.0,4556.0
302,302.0,4427.0
303,303.0,4550.0
304,304.0,4634.0
305,305.0,4259.0
306,306.0,4532.0
307,307.0,4458.0
308,308.0,4687.0
309,309.0,4564.0
310,310.0,4788.0
311,311.0,4725.0
312,312.0,4702.0
313,313.0,4746.0
314,314.0,4547.0
315,315.0,5042.0
316,316.0,4818.0
317,317.0,4704.0
318,318.0,4630.0
319,319.0,4900.0
320,320.0,4745.0
321,321.0,5019.0
322,322.0,4739.0
323,323.0,5006.0
324,324.0,4759.0
325,325.0,4637.0
326,326.0,4933.0
327,327.0,4948.0
328,328.0,5134.0
329,329.0,4957.0
330,330.0,4963.0
331,331.0,5547.0
332,332.0,5123.0
333,333.0,5252.0
334,334.0,5239.0
335,335.0,5166.0
336,336.0,5307.0
337,337.0,5243.0
338,338.0,5198.0
339,339.0,5076.0
340,340.0,5494.0
341,341.0,5735.0
342,342.0,5583.0
343,343.0,5221.0
344,344.0,5454.0
345,345.0,5378.0
346,346.0,5600.0
347,347.0,5413.0
348,348.0,5443.0
349,349.0,5427.0
350,350.0,5792.0
351,351.0,5821.0
352,352.0,5431.0
353,353.0,5866.0
354,354.0,5906.0
355,355.0,5715.0
356,356.0,5622.0
357,357.0,6024.0
358,358.0,5713.0
359,359.0,5465.0
360,360.0,6375.0
361,361.0,6035.0
362,362.0,5756.0
363,363.0,5842.0
364,364.0,5676.0
365,365.0,6368.0
366,366.0,6150.0
367,367.0,6399.0
368,368.0,6600.0
369,369.0,6137.0
370,370.0,6098.0
371,371.0,6509.0
372,372.0,5882.0
373,373.0,6485.0
374,374.0,6218.0
375,375.0,6783.0
376,376.0,6183.0
377,377.0,6199.0
378,378.0,6159.0
379,379.0,6297.0
